,duration,pdays,emp.var.rate,euribor3m,nr.employed
116,153.0,999.0,1.4,4.96,5228.1
117,179.0,999.0,1.4,4.96,5228.1
118,245.0,999.0,-1.8,1.327,5099.1
119,234.0,999.0,1.4,4.968,5228.1
120,332.0,999.0,1.4,4.963,5228.1
121,131.0,999.0,-1.8,1.327,5099.1
122,160.0,999.0,1.1,4.857,5191.0
123,386.0,999.0,1.1,4.857,5191.0
124,201.0,999.0,-1.8,1.445,5099.1
125,244.0,999.0,-1.8,1.415,5099.1
126,369.0,999.0,-1.1,0.882,4963.6
127,264.0,10.0,-1.8,1.244,5099.1
128,48.0,999.0,-1.8,1.405,5099.1
129,73.0,999.0,1.1,4.86,5191.0
130,1326.0,999.0,-1.8,1.25,5099.1
131,130.0,999.0,-1.8,1.334,5099.1
132,170.0,999.0,-1.8,1.365,5099.1
133,91.0,999.0,1.4,4.958,5228.1
134,29.0,999.0,-1.8,1.266,5099.1
135,307.0,999.0,1.1,4.857,5191.0
136,260.0,999.0,1.4,4.964,5228.1
137,170.0,999.0,1.1,4.859,5191.0
138,191.0,999.0,1.4,4.966,5228.1
139,154.0,999.0,1.4,4.963,5228.1
140,404.0,999.0,1.4,4.963,5228.1
141,264.0,999.0,1.4,4.963,5228.1
142,23.0,999.0,1.4,4.965,5228.1
143,122.0,999.0,1.4,4.962,5228.1
144,173.0,999.0,1.1,4.857,5191.0
145,115.0,999.0,1.4,4.959,5228.1
146,407.0,8.0,-1.8,0.695,5008.7
147,48.0,999.0,1.4,4.963,5228.1
148,61.0,999.0,1.1,4.857,5191.0
149,207.0,999.0,1.1,4.856,5191.0
150,281.0,999.0,1.1,4.857,5191.0
151,244.0,999.0,1.4,4.947,5228.1
152,310.0,999.0,1.4,4.962,5228.1
153,1487.0,999.0,1.4,4.962,5228.1
154,95.0,999.0,1.4,4.962,5228.1
155,375.0,999.0,-1.8,1.365,5099.1
156,300.0,999.0,-1.8,1.531,5099.1
157,322.0,999.0,1.1,4.857,5191.0
158,142.0,999.0,-0.1,4.191,5195.8
159,245.0,999.0,-1.8,1.344,5099.1
160,87.0,999.0,-0.1,4.153,5195.8
161,136.0,999.0,1.4,4.965,5228.1
162,218.0,999.0,1.4,4.956,5228.1
163,249.0,999.0,1.1,4.857,5191.0
164,90.0,999.0,1.1,4.857,5191.0
165,179.0,999.0,1.4,4.865,5228.1
166,356.0,999.0,1.4,4.968,5228.1
167,635.0,999.0,1.4,4.961,5228.1
168,268.0,999.0,-3.4,0.743,5017.5
169,21.0,999.0,1.4,4.963,5228.1
170,304.0,3.0,-2.9,1.268,5076.2
171,171.0,999.0,1.4,4.864,5228.1
172,261.0,999.0,1.1,4.856,5191.0
173,1855.0,999.0,-0.1,4.153,5195.8
174,334.0,6.0,-1.1,1.049,4963.6
175,123.0,999.0,1.4,4.961,5228.1
176,120.0,999.0,1.4,4.962,5228.1
177,68.0,999.0,-0.1,4.191,5195.8
178,332.0,999.0,-1.7,0.899,4991.6
179,763.0,999.0,1.4,4.864,5228.1
180,144.0,999.0,1.4,4.962,5228.1
181,41.0,999.0,-1.8,1.291,5099.1
182,137.0,4.0,-3.4,0.819,5017.5
183,106.0,999.0,1.1,4.86,5191.0
184,157.0,999.0,-0.1,4.076,5195.8
185,72.0,999.0,1.1,4.857,5191.0
186,596.0,999.0,-1.8,1.479,5099.1
187,263.0,999.0,1.4,4.962,5228.1
188,576.0,999.0,1.1,4.855,5191.0
189,315.0,999.0,-1.8,1.264,5099.1
190,390.0,999.0,-1.8,1.266,5099.1
191,246.0,999.0,-1.8,1.334,5099.1
192,15.0,999.0,1.1,4.858,5191.0
193,254.0,999.0,1.4,4.963,5228.1
194,190.0,999.0,1.1,4.858,5191.0
195,263.0,999.0,1.4,4.962,5228.1
196,139.0,999.0,1.1,4.856,5191.0
197,220.0,999.0,1.4,4.963,5228.1
198,192.0,999.0,1.1,4.864,5191.0
199,110.0,999.0,1.4,4.959,5228.1
200,318.0,999.0,1.1,4.858,5191.0
201,754.0,999.0,1.1,4.857,5191.0
202,257.0,999.0,1.4,4.962,5228.1
203,66.0,999.0,1.1,4.86,5191.0
204,436.0,999.0,1.1,4.86,5191.0
205,297.0,999.0,1.4,4.962,5228.1
206,12.0,999.0,-1.8,1.25,5099.1
207,200.0,999.0,1.4,4.96,5228.1
208,64.0,999.0,1.4,4.958,5228.1
209,190.0,999.0,-1.8,1.244,5099.1
210,635.0,999.0,-1.8,1.327,5099.1
211,267.0,999.0,1.4,4.864,5228.1
212,397.0,999.0,-1.8,1.344,5099.1
213,696.0,999.0,-0.1,4.191,5195.8
214,176.0,999.0,1.4,4.961,5228.1
215,825.0,999.0,1.4,4.864,5228.1
216,69.0,999.0,-0.1,4.021,5195.8
217,88.0,999.0,-1.8,1.244,5099.1
218,1238.0,999.0,1.4,4.96,5228.1
219,195.0,999.0,1.4,4.961,5228.1
220,189.0,999.0,-1.8,1.453,5099.1
221,208.0,999.0,1.4,4.964,5228.1
222,277.0,9.0,-1.8,1.299,5099.1
223,61.0,6.0,-3.4,0.731,5017.5
224,382.0,999.0,-1.8,1.405,5099.1
225,282.0,999.0,1.1,4.86,5191.0
226,6.0,999.0,-1.8,1.313,5099.1
227,286.0,999.0,1.4,4.963,5228.1
228,276.0,999.0,-1.8,1.344,5099.1
229,141.0,999.0,1.4,4.963,5228.1
230,417.0,3.0,-1.8,1.354,5099.1
231,413.0,999.0,-1.8,1.365,5099.1
232,322.0,999.0,1.1,4.856,5191.0
233,59.0,999.0,-0.1,4.12,5195.8
234,89.0,999.0,-2.9,1.268,5076.2
235,166.0,999.0,1.4,4.96,5228.1
236,9.0,999.0,-1.8,1.405,5099.1
237,222.0,999.0,1.4,4.866,5228.1
238,306.0,999.0,1.4,4.962,5228.1
239,504.0,999.0,-1.8,1.244,5099.1
240,101.0,999.0,-2.9,1.26,5076.2
241,154.0,999.0,1.1,4.855,5191.0
242,104.0,999.0,1.4,4.968,5228.1
243,171.0,999.0,1.4,4.957,5228.1
244,186.0,999.0,-0.1,4.076,5195.8
245,25.0,999.0,-0.1,4.076,5195.8
246,74.0,999.0,-0.1,4.076,5195.8
247,206.0,999.0,1.4,4.964,5228.1
248,638.0,999.0,1.4,4.963,5228.1
249,51.0,999.0,1.4,4.963,5228.1
250,186.0,999.0,-1.8,1.266,5099.1
251,174.0,999.0,1.1,4.86,5191.0
252,243.0,999.0,1.4,4.958,5228.1
253,1130.0,999.0,1.4,4.962,5228.1
254,386.0,999.0,1.1,4.857,5191.0
255,193.0,999.0,-1.8,1.327,5099.1
256,52.0,999.0,1.4,4.962,5228.1
257,141.0,999.0,1.1,4.855,5191.0
258,7.0,999.0,-1.8,1.299,5099.1
259,300.0,999.0,-1.8,1.299,5099.1
260,85.0,999.0,1.4,4.963,5228.1
261,182.0,999.0,-3.4,0.722,5017.5
262,393.0,999.0,1.4,4.961,5228.1
263,232.0,999.0,1.1,4.857,5191.0
264,92.0,999.0,1.4,4.865,5228.1
265,154.0,999.0,1.4,4.963,5228.1
266,303.0,999.0,-0.1,4.076,5195.8
267,107.0,999.0,-1.8,1.281,5099.1
268,226.0,999.0,1.4,4.965,5228.1
269,191.0,999.0,1.1,4.856,5191.0
270,168.0,999.0,1.4,4.961,5228.1
271,441.0,999.0,-0.1,4.021,5195.8
272,286.0,999.0,-0.1,4.153,5195.8
273,151.0,999.0,1.4,4.963,5228.1
274,546.0,999.0,1.4,4.962,5228.1
275,248.0,999.0,1.1,4.86,5191.0
276,12.0,999.0,-1.7,0.782,4991.6
277,354.0,999.0,-1.8,1.405,5099.1
278,288.0,999.0,-1.8,1.259,5099.1
279,55.0,999.0,1.4,4.962,5228.1
280,189.0,4.0,-2.9,0.873,5076.2
281,343.0,999.0,1.1,4.855,5191.0
282,297.0,999.0,-1.8,1.244,5099.1
283,376.0,999.0,1.4,4.961,5228.1
284,6.0,999.0,-1.8,1.405,5099.1
285,174.0,999.0,1.4,4.865,5228.1
286,80.0,999.0,1.4,4.965,5228.1
287,181.0,999.0,1.4,4.961,5228.1
288,115.0,999.0,1.4,4.967,5228.1
289,164.0,999.0,-3.4,0.722,5017.5
290,79.0,999.0,-0.1,4.153,5195.8
291,95.0,999.0,1.4,4.962,5228.1
292,270.0,9.0,-1.1,0.883,4963.6
293,207.0,999.0,1.1,4.855,5191.0
294,69.0,999.0,-1.8,1.327,5099.1
295,202.0,999.0,1.1,4.857,5191.0
296,172.0,999.0,1.1,4.857,5191.0
297,146.0,999.0,-0.1,4.076,5195.8
298,91.0,999.0,1.4,4.864,5228.1
299,463.0,999.0,1.1,4.857,5191.0
300,141.0,999.0,-1.8,1.344,5099.1
301,274.0,999.0,-1.8,1.405,5099.1
302,408.0,999.0,1.1,4.858,5191.0
303,243.0,999.0,-1.8,1.264,5099.1
304,715.0,999.0,-1.8,1.266,5099.1
305,402.0,999.0,1.1,4.857,5191.0
306,198.0,999.0,1.4,4.97,5228.1
307,176.0,999.0,-1.8,1.327,5099.1
308,130.0,999.0,1.4,4.96,5228.1
309,333.0,999.0,1.4,4.961,5228.1
310,156.0,999.0,1.4,4.962,5228.1
311,58.0,999.0,-0.1,4.153,5195.8
312,290.0,999.0,-1.8,1.281,5099.1
313,445.0,999.0,1.1,4.858,5191.0
314,55.0,999.0,1.1,4.86,5191.0
315,85.0,999.0,1.1,4.857,5191.0
316,114.0,999.0,1.4,4.964,5228.1
317,154.0,999.0,1.4,4.963,5228.1
318,31.0,999.0,-1.8,1.25,5099.1
319,134.0,999.0,1.4,4.967,5228.1
320,132.0,999.0,1.4,4.965,5228.1
321,611.0,999.0,1.1,4.857,5191.0
322,133.0,999.0,-0.1,4.076,5195.8
323,153.0,999.0,1.4,4.962,5228.1
324,274.0,999.0,1.1,4.856,5191.0
325,547.0,999.0,1.4,4.964,5228.1
326,306.0,999.0,-3.4,0.739,5017.5
327,350.0,999.0,1.1,4.857,5191.0
328,144.0,999.0,-0.1,4.076,5195.8
329,345.0,999.0,1.4,4.961,5228.1
330,34.0,999.0,1.1,4.86,5191.0
331,272.0,999.0,1.1,4.857,5191.0
332,124.0,999.0,-0.1,4.153,5195.8
333,379.0,999.0,-0.1,4.021,5195.8
334,178.0,999.0,-1.8,1.244,5099.1
335,663.0,999.0,-1.8,1.25,5099.1
336,143.0,999.0,1.1,4.856,5191.0
337,1288.0,999.0,1.4,4.967,5228.1
338,354.0,999.0,-1.8,1.259,5099.1
339,55.0,999.0,1.4,4.962,5228.1
340,52.0,999.0,-1.8,1.354,5099.1
341,547.0,999.0,-1.8,1.299,5099.1
342,397.0,999.0,1.1,4.86,5191.0
343,141.0,999.0,1.1,4.857,5191.0
344,76.0,999.0,1.4,4.964,5228.1
345,67.0,999.0,1.4,4.968,5228.1
346,126.0,999.0,-1.8,1.25,5099.1
347,39.0,999.0,1.4,4.959,5228.1
348,156.0,999.0,-2.9,0.884,5076.2
349,181.0,999.0,-1.8,1.299,5099.1
350,649.0,999.0,1.4,4.961,5228.1
351,293.0,999.0,-1.8,1.405,5099.1
352,60.0,999.0,1.4,4.961,5228.1
353,365.0,999.0,-1.8,1.405,5099.1
354,75.0,999.0,-2.9,0.861,5076.2
355,220.0,999.0,1.4,4.965,5228.1
356,281.0,999.0,-1.8,1.281,5099.1
357,108.0,999.0,1.1,4.857,5191.0
358,107.0,999.0,1.4,4.965,5228.1
359,464.0,999.0,1.4,4.964,5228.1
360,236.0,999.0,1.4,4.961,5228.1
361,237.0,999.0,1.4,4.961,5228.1
362,83.0,999.0,-0.1,4.474,5195.8
363,232.0,999.0,1.4,4.959,5228.1
364,1061.0,999.0,-0.1,4.12,5195.8
365,324.0,999.0,1.1,4.855,5191.0
366,202.0,999.0,-1.8,1.244,5099.1
367,133.0,999.0,1.4,4.961,5228.1
368,104.0,999.0,-1.8,1.25,5099.1
369,68.0,999.0,1.4,4.967,5228.1
370,20.0,999.0,1.4,4.866,5228.1
371,119.0,999.0,1.4,4.96,5228.1
372,205.0,999.0,1.1,4.856,5191.0
373,203.0,999.0,1.4,4.963,5228.1
374,393.0,999.0,-1.8,1.405,5099.1
375,108.0,999.0,-1.8,1.405,5099.1
376,93.0,11.0,-1.8,1.453,5099.1
377,293.0,999.0,1.4,4.96,5228.1
378,272.0,999.0,-1.8,1.435,5099.1
379,362.0,999.0,-1.8,1.354,5099.1
380,108.0,999.0,1.4,4.961,5228.1
381,108.0,999.0,1.4,4.957,5228.1
382,184.0,999.0,1.1,4.857,5191.0
383,92.0,999.0,1.1,4.857,5191.0
384,41.0,999.0,-0.1,4.12,5195.8
385,138.0,999.0,1.1,4.857,5191.0
386,184.0,999.0,-0.1,4.021,5195.8
387,63.0,999.0,-0.1,4.12,5195.8
388,82.0,999.0,1.1,4.857,5191.0
389,55.0,999.0,1.1,4.857,5191.0
390,90.0,999.0,1.1,4.856,5191.0
391,429.0,999.0,1.4,4.963,5228.1
392,216.0,999.0,1.4,4.968,5228.1
393,240.0,999.0,1.1,4.857,5191.0
394,419.0,999.0,1.4,4.961,5228.1
395,244.0,999.0,-0.1,4.021,5195.8
396,158.0,999.0,1.4,4.959,5228.1
397,99.0,999.0,1.1,4.864,5191.0
398,112.0,999.0,-1.8,1.291,5099.1
399,124.0,999.0,-0.1,4.191,5195.8
400,93.0,999.0,-1.8,1.703,5099.1
401,322.0,999.0,1.1,4.857,5191.0
402,261.0,999.0,-1.7,0.899,4991.6
403,142.0,999.0,1.4,4.963,5228.1
404,116.0,999.0,-1.8,1.334,5099.1
405,420.0,999.0,1.1,4.858,5191.0
406,116.0,999.0,1.4,4.961,5228.1
407,190.0,999.0,1.4,4.968,5228.1
408,178.0,999.0,1.4,4.865,5228.1
409,251.0,999.0,-2.9,0.884,5076.2
410,70.0,999.0,-1.8,1.313,5099.1
411,118.0,999.0,1.4,4.963,5228.1
412,126.0,7.0,-3.4,0.714,5017.5
413,37.0,999.0,1.1,4.859,5191.0
414,60.0,999.0,-0.1,4.153,5195.8
415,115.0,999.0,-0.1,4.12,5195.8
416,65.0,999.0,-2.9,0.825,5076.2
417,44.0,999.0,1.1,4.855,5191.0
418,329.0,999.0,1.1,4.859,5191.0
419,89.0,999.0,1.4,4.962,5228.1
420,125.0,999.0,-1.8,1.299,5099.1
421,93.0,999.0,1.4,4.966,5228.1
422,74.0,999.0,1.4,4.963,5228.1
423,122.0,999.0,1.4,4.965,5228.1
424,1187.0,999.0,1.1,4.855,5191.0
425,808.0,12.0,-1.1,0.877,4963.6
426,273.0,999.0,1.4,4.96,5228.1
427,61.0,999.0,1.1,4.858,5191.0
428,8.0,999.0,-1.7,0.761,4991.6
429,74.0,999.0,1.4,4.962,5228.1
430,470.0,999.0,1.1,4.857,5191.0
431,193.0,999.0,1.4,4.961,5228.1
432,109.0,999.0,1.4,4.964,5228.1
433,282.0,999.0,1.1,4.859,5191.0
434,53.0,999.0,-1.8,1.365,5099.1
435,246.0,999.0,1.1,4.864,5191.0
436,240.0,999.0,1.4,4.957,5228.1
437,371.0,999.0,-2.9,0.883,5076.2
438,68.0,999.0,-1.8,1.405,5099.1
439,233.0,999.0,1.1,4.858,5191.0
440,21.0,999.0,1.4,4.866,5228.1
441,878.0,999.0,1.4,4.961,5228.1
442,137.0,999.0,-1.8,1.405,5099.1
443,149.0,999.0,1.4,4.957,5228.1
444,11.0,999.0,-1.1,0.882,4963.6
445,136.0,999.0,1.4,4.962,5228.1
446,508.0,999.0,-1.8,1.405,5099.1
447,120.0,999.0,1.1,4.858,5191.0
448,480.0,999.0,1.1,4.86,5191.0
449,48.0,999.0,-1.8,1.291,5099.1
450,85.0,999.0,1.1,4.857,5191.0
451,645.0,999.0,1.4,4.963,5228.1
452,867.0,999.0,1.4,4.961,5228.1
453,67.0,999.0,1.1,4.855,5191.0
454,352.0,999.0,-1.8,1.264,5099.1
455,175.0,999.0,1.4,4.967,5228.1
456,843.0,999.0,1.1,4.857,5191.0
457,78.0,999.0,1.4,4.96,5228.1
458,184.0,999.0,-1.8,1.405,5099.1
459,313.0,999.0,-1.8,1.483,5099.1
460,480.0,999.0,-3.0,0.717,5023.5
461,78.0,999.0,1.4,4.968,5228.1
462,117.0,999.0,1.1,4.855,5191.0
463,153.0,999.0,1.4,4.96,5228.1
464,471.0,999.0,1.4,4.866,5228.1
465,198.0,999.0,-1.8,0.635,5008.7
466,208.0,999.0,1.4,4.97,5228.1
467,110.0,999.0,-0.1,4.076,5195.8
468,139.0,999.0,-0.1,4.076,5195.8
469,167.0,999.0,1.4,4.957,5228.1
470,440.0,999.0,1.4,4.957,5228.1
471,203.0,999.0,-1.8,1.602,5099.1
472,57.0,999.0,-1.8,1.266,5099.1
473,124.0,999.0,1.4,4.968,5228.1
474,146.0,999.0,-2.9,0.884,5076.2
475,371.0,999.0,1.4,4.968,5228.1
476,105.0,999.0,-0.1,4.191,5195.8
477,186.0,999.0,1.4,4.864,5228.1
478,186.0,999.0,1.4,4.967,5228.1
479,17.0,999.0,1.1,4.856,5191.0
480,130.0,999.0,-0.1,4.153,5195.8
481,130.0,999.0,-0.1,4.191,5195.8
482,144.0,999.0,1.4,4.963,5228.1
483,143.0,999.0,-1.8,0.642,5008.7
484,328.0,999.0,-0.1,4.12,5195.8
485,700.0,5.0,-1.8,0.652,5008.7
486,203.0,999.0,1.4,4.962,5228.1
487,23.0,999.0,1.4,4.865,5228.1
488,61.0,999.0,1.4,4.865,5228.1
489,247.0,2.0,-1.7,0.754,4991.6
490,197.0,999.0,-0.1,4.076,5195.8
491,132.0,999.0,-1.8,1.281,5099.1
492,126.0,999.0,1.1,4.86,5191.0
493,486.0,999.0,-1.8,1.244,5099.1
494,282.0,999.0,-1.8,1.299,5099.1
495,402.0,999.0,1.4,4.958,5228.1
496,49.0,999.0,1.4,4.958,5228.1
497,220.0,999.0,-1.8,0.654,5008.7
498,90.0,999.0,1.1,4.857,5191.0
499,96.0,999.0,-3.4,0.724,5017.5
500,316.0,999.0,-1.1,1.016,4963.6
501,179.0,999.0,-1.8,1.291,5099.1
502,62.0,999.0,-1.8,1.334,5099.1
503,360.0,999.0,-1.8,1.327,5099.1
504,789.0,999.0,1.4,4.964,5228.1
505,234.0,999.0,-1.8,1.344,5099.1
506,95.0,999.0,-1.8,1.266,5099.1
507,127.0,999.0,1.1,4.857,5191.0
508,442.0,999.0,-1.8,1.244,5099.1
509,188.0,999.0,1.4,4.964,5228.1
510,435.0,999.0,-1.8,1.365,5099.1
511,315.0,999.0,1.1,4.859,5191.0
512,118.0,999.0,-2.9,1.262,5076.2
513,70.0,999.0,1.4,4.959,5228.1
514,281.0,999.0,1.1,4.857,5191.0
515,100.0,999.0,1.1,4.855,5191.0
516,126.0,999.0,1.4,4.965,5228.1
517,145.0,999.0,1.1,4.86,5191.0
518,436.0,999.0,1.4,4.965,5228.1
519,93.0,999.0,1.4,4.964,5228.1
520,208.0,999.0,-1.8,1.327,5099.1
521,739.0,999.0,1.1,4.857,5191.0
522,34.0,999.0,1.4,4.961,5228.1
523,331.0,999.0,1.4,4.963,5228.1
524,46.0,999.0,-0.1,4.153,5195.8
525,666.0,999.0,-1.8,1.405,5099.1
526,289.0,999.0,1.1,4.858,5191.0
527,77.0,999.0,1.4,4.962,5228.1
528,51.0,999.0,1.1,4.86,5191.0
529,148.0,999.0,1.4,4.968,5228.1
530,234.0,999.0,1.4,4.963,5228.1
531,56.0,999.0,-0.1,4.191,5195.8
532,141.0,999.0,-1.8,1.344,5099.1
533,375.0,999.0,1.1,4.856,5191.0
534,1101.0,999.0,1.1,4.856,5191.0
535,123.0,999.0,1.1,4.857,5191.0
536,460.0,999.0,1.4,4.967,5228.1
537,317.0,999.0,1.4,4.961,5228.1
538,29.0,999.0,1.1,4.858,5191.0
539,44.0,999.0,-1.8,1.41,5099.1
540,154.0,999.0,1.1,4.857,5191.0
541,48.0,999.0,1.1,4.858,5191.0
542,209.0,999.0,-1.1,1.0,4963.6
543,190.0,999.0,-1.8,1.281,5099.1
544,417.0,999.0,-0.1,4.153,5195.8
545,204.0,999.0,1.4,4.965,5228.1
546,90.0,999.0,1.4,4.966,5228.1
547,1241.0,999.0,1.4,4.963,5228.1
548,158.0,999.0,1.4,4.962,5228.1
549,342.0,999.0,-2.9,1.072,5076.2
550,559.0,999.0,-1.8,0.64,5008.7
551,208.0,999.0,1.1,4.855,5191.0
552,72.0,999.0,1.1,4.858,5191.0
553,100.0,999.0,1.1,4.858,5191.0
554,111.0,999.0,1.4,4.965,5228.1
555,142.0,999.0,-1.8,1.334,5099.1
556,95.0,999.0,1.4,4.966,5228.1
557,162.0,999.0,1.4,4.963,5228.1
558,110.0,999.0,-0.1,4.191,5195.8
559,212.0,999.0,1.4,4.957,5228.1
560,833.0,999.0,1.4,4.864,5228.1
561,173.0,999.0,1.1,4.858,5191.0
562,60.0,999.0,-0.1,4.076,5195.8
563,741.0,999.0,1.4,4.96,5228.1
564,874.0,999.0,-1.8,1.365,5099.1
565,150.0,999.0,1.4,4.964,5228.1
566,168.0,999.0,1.4,4.961,5228.1
567,167.0,999.0,1.4,4.96,5228.1
568,259.0,999.0,1.1,4.858,5191.0
569,149.0,999.0,-1.8,1.281,5099.1
570,325.0,999.0,1.1,4.857,5191.0
571,361.0,999.0,1.1,4.857,5191.0
572,106.0,999.0,1.4,4.964,5228.1
573,1871.0,999.0,1.4,4.964,5228.1
574,110.0,999.0,1.4,4.962,5228.1
575,75.0,999.0,1.1,4.859,5191.0
576,25.0,999.0,1.1,4.857,5191.0
577,119.0,999.0,1.4,4.963,5228.1
578,178.0,999.0,-1.8,1.405,5099.1
579,133.0,999.0,1.4,4.962,5228.1
580,149.0,999.0,1.1,4.864,5191.0
581,273.0,999.0,1.4,4.963,5228.1
582,162.0,999.0,1.1,4.858,5191.0
583,73.0,999.0,1.4,4.957,5228.1
584,292.0,999.0,1.4,4.958,5228.1
585,177.0,999.0,1.4,4.965,5228.1
586,668.0,999.0,1.1,4.86,5191.0
587,99.0,999.0,-1.8,1.313,5099.1
588,200.0,999.0,-1.8,1.365,5099.1
589,446.0,999.0,1.4,4.959,5228.1
590,188.0,999.0,1.4,4.864,5228.1
591,436.0,999.0,1.4,4.97,5228.1
592,42.0,999.0,1.4,4.963,5228.1
593,309.0,999.0,1.4,4.965,5228.1
594,596.0,999.0,1.1,4.857,5191.0
